iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A68A,2020-03-11,-62.0521,-52.965,0.034,0.1705,0.4022,67.01,0.0,0.0,0.93957,0.34236,3.623,0.0185,0.0727,-2.5066,-1.0692,-0.0247,-0.0925
A68A,2020-03-12,-62.0336,-52.8923,0.0185,0.0727,0.1797,61.54,0.0,0.0,0.94532,0.32614,3.73,0.0669,0.309,1.1584,-5.2383,0.0073,-0.0983
A68A,2020-03-13,-61.9667,-52.5833,0.0669,0.309,0.7401,65.38,82.0,26.0,0.95079,0.30983,3.816,-0.0296,-0.1849,3.3011,-8.9257,0.0193,-0.0822
A68A,2020-03-14,-61.9963,-52.7682,-0.0296,-0.1849,0.4251,251.1,0.0,0.0,0.95598,0.29343,3.933,0.0705,0.1964,5.2548,-8.3703,0.0347,-0.0784
A68A,2020-03-15,-61.9258,-52.5718,0.0705,0.1964,0.5382,52.72,0.0,0.0,0.96089,0.27695,4.029,0.0,0.0,9.5778,-4.0845,-0.0054,-0.0144
A68A,2020-03-16,-61.9258,-52.5718,0.0,0.0,0.0,0.0,0.0,0.0,0.96551,0.26038,4.063,0.0478,0.1471,7.8553,-2.217,-0.0085,-0.0134
A68A,2020-03-17,-61.878,-52.4247,0.0478,0.1471,0.39,55.46,0.0,0.0,0.96984,0.24373,4.1,0.0888,0.2733,2.9996,1.4121,-0.0217,-0.0214
A68A,2020-03-18,-61.7892,-52.1514,0.0888,0.2733,0.7256,55.58,0.0,0.0,0.97389,0.22701,4.198,0.0478,0.1471,-4.218,-0.0318,-0.0453,-0.0508
A68A,2020-03-19,-61.7414,-52.0043,0.0478,0.1471,0.3912,55.58,0.0,0.0,0.97765,0.21022,4.279,0.0,0.0,-0.5389,3.8748,-0.045,-0.0219
A68A,2020-03-20,-61.7414,-52.0043,0.0,0.0,0.0,0.0,82.0,26.0,0.98112,0.19338,4.409,0.1484,0.397,-9.6843,-0.0674,-0.0825,-0.0817
A68A,2020-03-21,-61.593,-51.6073,0.1484,0.397,1.1112,51.95,0.0,0.0,0.98431,0.17647,4.488,0.046,0.1775,-0.6289,10.4616,-0.0648,-0.0056
A68A,2020-03-22,-61.547,-51.4298,0.046,0.1775,0.4458,61.52,0.0,0.0,0.9872,0.15951,4.506,0.0291,0.1232,-0.3147,-6.9887,0.0377,-0.0614
A68A,2020-03-23,-61.5179,-51.3066,0.0291,0.1232,0.3037,63.69,0.0,0.0,0.98979,0.14251,4.559,0.0101,0.0461,3.6491,-5.3787,0.041,-0.0245
A68A,2020-03-24,-61.5078,-51.2605,0.0101,0.0461,0.1121,65.35,0.0,0.0,0.9921,0.12546,4.681,0.0,0.0,3.0218,6.6839,-0.0398,0.0331
A68A,2020-03-25,-61.5078,-51.2605,0.0,0.0,0.0,0.0,0.0,0.0,0.99411,0.10838,4.729,0.0786,0.1203,7.1728,0.244,-0.0107,-0.0226
A68A,2020-03-26,-61.4292,-51.1402,0.0786,0.1203,0.4511,36.22,0.0,0.0,0.99583,0.09126,4.858,-0.0041,0.0902,11.334,-3.8958,0.0505,0.0145
A68A,2020-03-27,-61.4333,-51.05,-0.0041,0.0902,0.2007,95.47,82.0,26.0,0.99725,0.07412,4.921,0.0041,-0.0902,8.3552,-0.088,-0.0241,-0.0183
A68A,2020-03-28,-61.4292,-51.1402,0.0041,-0.0902,0.2007,275.39,0.0,0.0,0.99838,0.05695,4.97,0.0,0.0,6.2275,4.819,-0.0359,0.0017
A68A,2020-03-29,-61.4292,-51.1402,0.0,0.0,0.0,0.0,0.0,0.0,0.99921,0.03977,5.114,0.0054,0.1956,8.6313,-4.566,0.0114,-0.0373
A68A,2020-03-30,-61.4238,-50.9446,0.0054,0.1956,0.4342,86.78,0.0,0.0,0.99975,0.02258,5.179,0.0,0.0,5.8455,-2.574,-0.0676,-0.0589
A68A,2020-03-31,-61.4238,-50.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.99999,0.00538,5.304,0.0,0.0,4.5209,0.6346,-0.0882,-0.0347
