date,region,mean_sic,min_sic,max_sic,valid_cells
2026-08-15,Antarctic Peninsula,12.64,0.0,100.0,18138
2026-08-16,Weddell Sea,69.6,0.0,100.0,75448
2026-08-16,Ross Sea,96.98,0.0,100.0,37677
2026-08-16,Amundsen Sea,98.88,0.0,100.0,17926
2026-08-16,Bellingshausen Sea,71.47,0.0,100.0,22887
2026-08-16,Scotia Sea,5.97,0.0,100.0,59842
2026-08-16,Prydz Bay,76.05,0.0,100.0,336
2026-08-16,Davis Sea,82.72,0.0,100.0,6266
2026-08-16,Cooperation Sea,78.68,0.0,100.0,12598
2026-08-16,Mawson Sea,80.07,0.0,100.0,11884
2026-08-16,Cosmonaut Sea,45.21,0.0,100.0,13367
2026-08-16,Somov Sea,96.97,0.0,100.0,14589
2026-08-16,Riiser-Larsen Sea,78.26,0.0,100.0,15821
2026-08-16,Lazarev Sea,88.45,0.0,100.0,12109
2026-08-16,King Haakon VII Sea,91.69,0.0,100.0,16529
2026-08-16,Antarctic Peninsula,16.71,0.0,100.0,18138
2026-08-17,Weddell Sea,67.61,0.0,100.0,75441
2026-08-17,Ross Sea,96.55,0.0,100.0,37696
2026-08-17,Amundsen Sea,97.36,0.0,100.0,17917
2026-08-17,Bellingshausen Sea,72.77,0.0,100.0,22882
2026-08-17,Scotia Sea,5.44,0.0,100.0,59842
2026-08-17,Prydz Bay,83.55,1.0,100.0,330
2026-08-17,Davis Sea,76.91,0.0,100.0,6273
2026-08-17,Cooperation Sea,71.79,0.0,100.0,12592
2026-08-17,Mawson Sea,80.57,0.0,100.0,11878
2026-08-17,Cosmonaut Sea,46.89,0.0,100.0,13362
2026-08-17,Somov Sea,96.17,0.0,100.0,14593
2026-08-17,Riiser-Larsen Sea,75.01,0.0,100.0,15822
2026-08-17,Lazarev Sea,86.81,0.0,100.0,12110
2026-08-17,King Haakon VII Sea,91.08,0.0,100.0,16529
2026-08-17,Antarctic Peninsula,15.76,0.0,100.0,18138
2026-08-18,Weddell Sea,67.54,0.0,100.0,75452
2026-08-18,Ross Sea,96.6,0.0,100.0,37675
2026-08-18,Amundsen Sea,97.51,4.0,100.0,17915
2026-08-18,Bellingshausen Sea,74.62,0.0,100.0,22885
2026-08-18,Scotia Sea,5.27,0.0,100.0,59842
2026-08-18,Prydz Bay,88.16,3.0,100.0,340
2026-08-18,Davis Sea,80.74,0.0,100.0,6277
2026-08-18,Cooperation Sea,74.04,0.0,100.0,12604
2026-08-18,Mawson Sea,80.64,0.0,100.0,11884
2026-08-18,Cosmonaut Sea,42.07,0.0,100.0,13356
2026-08-18,Somov Sea,96.42,0.0,100.0,14583
